Title,Genre,Ratings,Voting_counts,Duration
Mufasa: The Lion King,Animation,6.6, (63K),1h 58m
Moana 2,Animation,6.6, (102K),1h 40m
Flow,Animation,7.9, (74K),1h 25m
Paddington in Peru,Animation,6.7, (21K),1h 46m
The Wild Robot,Animation,8.2, (163K),1h 42m
Transformers One,Animation,7.6, (51K),1h 44m
Despicable Me 4,Animation,6.2, (65K),1h 34m
The Day the Earth Blew Up: A Looney Tunes Movie,Animation,7.0, (4.2K),1h 31m
Inside Out 2,Animation,7.5, (216K),1h 36m
The Lord of the Rings: The War of the Rohirrim,Animation,6.3, (30K),2h 14m
IF,Animation,6.4, (58K),1h 44m
Solo Leveling: ReAwakening,Animation,8.7, (12K),2h 1m
Kung Fu Panda 4,Animation,6.3, (68K),1h 34m
Memoir of a Snail,Animation,7.8, (17K),1h 35m
The Garfield Movie,Animation,5.7, (24K),1h 41m
Harold and the Purple Crayon,Animation,5.7, (8.4K),1h 30m
Attack on Titan the Movie: The Last Attack,Animation,9.2, (16K),2h 25m
Watchmen: Chapter I,Animation,7.1, (6.6K),1h 23m
Wallace & Gromit: Vengeance Most Fowl,Animation,7.5, (34K),1h 22m
Spellbound,Animation,5.5, (7.4K),1h 49m
Night of the Zoopocalypse,Animation,6.0, (661),1h 31m
Spermageddon,Animation,5.8, (816),1h 20m
Look Back,Animation,7.8, (15K),58m
Hitpig,Animation,5.1, (943),1h 26m
Piece by Piece,Animation,6.9, (5.4K),1h 33m
Watchmen: Chapter II,Animation,7.0, (3.1K),1h 30m
Thelma the Unicorn,Animation,5.7, (2.9K),1h 33m
Buffalo Kids,Animation,6.6, (695),1h 33m
The Most Precious of Cargoes,Animation,7.1, (988),1h 21m
Megamind vs. The Doom Syndicate,Animation,2.5, (5.6K),1h 23m
Orion and the Dark,Animation,6.3, (17K),1h 33m
The Remarkable Life of Ibelin,Animation,8.2, (12K),1h 43m
Justice League: Crisis on Infinite Earths - Part One,Animation,6.2, (8.5K),1h 33m
Justice League: Crisis on Infinite Earths - Part Three,Animation,6.1, (4.5K),1h 34m
My Hero Academia: You're Next,Animation,7.0, (2.2K),1h 50m
That Christmas,Animation,6.8, (17K),1h 31m
Ultraman: Rising,Animation,6.9, (6.4K),1h 57m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,7.1, (8.5K),1h 44m
The Glassworker,Animation,7.3, (1.7K),1h 38m
Dan Da Dan: First Encounter,Animation,8.2, (2.7K),1h 23m
Woody Woodpecker Goes to Camp,Animation,4.5, (2.6K),1h 40m
Grand Theft Hamlet,Animation,6.9, (1.9K),1h 29m
Saving Bikini Bottom: The Sandy Cheeks Movie,Animation,3.7, (3.9K),1h 22m
10 Lives,Animation,5.9, (1.9K),1h 28m
Doraemon the Movie: Nobita's Earth Symphony,Animation,6.6, (1.5K),1h 55m
Dragonkeeper,Animation,5.7, (1.7K),1h 38m
Limonov: The Ballad of Eddie,Animation,6.0, (798),2h 18m
The Colors Within,Animation,7.1, (971),1h 41m
Mars,Animation,7.9, (23),1h 24m
Justice League: Crisis on Infinite Earths - Part Two,Animation,5.5, (5.3K),1h 34m
200% Wolf,Animation,5.9, (1.3K),1h 38m
Johnny Puff: Secret Mission,Animation,4.8, (453),1h 27m
Bloody Escape: Bats out of Hell,Animation,5.6, (48),1h 40m
The Tiger's Apprentice,Animation,5.7, (2.2K),1h 24m
Overlord: The Sacred Kingdom,Animation,6.9, (991),2h 15m
Haikyu!! The Dumpster Battle,Animation,7.7, (6.2K),1h 25m
Panda Bear in Africa,Animation,5.5, (347),1h 24m
Crayon Shin-chan: Ora's Dinosaur Diary,Animation,6.4, (358),1h 46m
Blue Lock: Episode Nagi,Animation,6.6, (2.5K),1h 31m
Super-Charlie,Animation,5.8, (122),1h 20m
A Sloth Story,Animation,5.6, (206),1h 30m
Lesbian Space Princess,Animation,7.2, (137),1h 27m
Rebellious,Animation,6.0, (195),1h 34m
Ryan's World the Movie: Titan Universe Adventure,Animation,1.8, (692),1h 20m
The Night Before Christmas in Wonderland,Animation,6.3, (518),1h 20m
Given 3: To the Sea,Animation,8.8, (64),1h 20m
Elli and the Ghostly Ghost Train,Animation,5.1, (101),1h 26m
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,8.8, (1.2K),1h 30m
Frida,Animation,7.5, (1.5K),1h 27m
Sanatorium Under the Sign of the Hourglass,Animation,5.4, (117),1h 15m
Noah's Ark,Animation,4.3, (662),1h 36m
Savages,Animation,6.8, (343),1h 27m
Dongeng Sang Kancil,Animation,6.7, (173),1h 39m
Gracie and Pedro: Pets to the Rescue,Animation,5.1, (276),1h 27m
The Quintessential Quintuplets Specials 2,Animation,7.0, (131),46m
Mononoke the Movie: The Phantom in the Rain,Animation,6.8, (1.2K),1h 29m
Big City Greens the Movie: Spacecation,Animation,6.2, (543),1h 23m
White Snake: Afloat,Animation,6.9, (477),2h 13m
