Title,Genre,Ratings,Voting_counts,Duration
The Life of Chuck,Sci-Fi,7.6, (558),1h 50m
The Substance,Sci-Fi,7.3, (298K),2h 21m
Sonic the Hedgehog 3,Sci-Fi,6.9, (59K),1h 50m
Y2K,Sci-Fi,4.8, (14K),1h 31m
The Assessment,Sci-Fi,6.8, (3.2K),1h 54m
Deadpool & Wolverine,Sci-Fi,7.6, (492K),2h 8m
Alien: Romulus,Sci-Fi,7.1, (245K),1h 59m
The Wild Robot,Sci-Fi,8.2, (163K),1h 42m
Dune: Part Two,Sci-Fi,8.5, (625K),2h 46m
Venom: The Last Dance,Sci-Fi,6.0, (117K),1h 50m
Furiosa: A Mad Max Saga,Sci-Fi,7.5, (285K),2h 28m
Transformers One,Sci-Fi,7.6, (51K),1h 44m
Borderlands,Sci-Fi,4.7, (48K),1h 41m
Subservience,Sci-Fi,5.4, (28K),1h 46m
Despicable Me 4,Sci-Fi,6.2, (65K),1h 34m
The Shrouds,Sci-Fi,6.0, (1.2K),1h 59m
The Day the Earth Blew Up: A Looney Tunes Movie,Sci-Fi,7.0, (4.2K),1h 31m
Madame Web,Sci-Fi,4.0, (101K),1h 56m
Megalopolis,Sci-Fi,4.7, (35K),2h 18m
Elevation,Sci-Fi,5.6, (22K),1h 31m
A Quiet Place: Day One,Sci-Fi,6.3, (150K),1h 39m
It's What's Inside,Sci-Fi,6.6, (42K),1h 43m
Caddo Lake,Sci-Fi,6.8, (42K),1h 43m
Godzilla x Kong: The New Empire,Sci-Fi,6.0, (122K),1h 55m
Ghostbusters: Frozen Empire,Sci-Fi,6.1, (93K),1h 55m
Kingdom of the Planet of the Apes,Sci-Fi,6.9, (151K),2h 25m
Distant,Sci-Fi,5.7, (3.2K),1h 27m
Spaceman,Sci-Fi,5.7, (43K),1h 47m
Werewolves,Sci-Fi,4.4, (6.6K),1h 33m
Survive,Sci-Fi,4.5, (2.5K),1h 30m
Rich Flu,Sci-Fi,5.3, (5.8K),1h 56m
Uglies,Sci-Fi,4.7, (33K),1h 40m
Time Cut,Sci-Fi,5.0, (19K),1h 31m
Slingshot,Sci-Fi,5.7, (9.5K),1h 48m
Die Alone,Sci-Fi,5.7, (3K),1h 30m
Atlas,Sci-Fi,5.6, (56K),1h 58m
Arcadian,Sci-Fi,5.5, (23K),1h 32m
Watchmen: Chapter I,Sci-Fi,7.1, (6.6K),1h 23m
Apocalypse Z: The Beginning of the End,Sci-Fi,6.1, (20K),1h 57m
Wallace & Gromit: Vengeance Most Fowl,Sci-Fi,7.5, (34K),1h 22m
Kalki 2898 AD,Sci-Fi,7.0, (67K),3h
Sting,Sci-Fi,5.7, (16K),1h 31m
Rebel Moon - Part Two: The Scargiver,Sci-Fi,5.3, (59K),2h 2m
Afraid,Sci-Fi,5.2, (14K),1h 24m
Love Me,Sci-Fi,5.1, (2.5K),1h 31m
The Fix,Sci-Fi,4.6, (1.2K),1h 38m
The End,Sci-Fi,5.5, (1.9K),2h 28m
The Platform 2,Sci-Fi,4.9, (40K),1h 39m
Things Will Be Different,Sci-Fi,5.2, (2.5K),1h 42m
Alien: Rubicon,Sci-Fi,2.4, (344),1h 26m
Watchmen: Chapter II,Sci-Fi,7.0, (3.1K),1h 30m
Breathe,Sci-Fi,4.2, (7.2K),1h 33m
Megamind vs. The Doom Syndicate,Sci-Fi,2.5, (5.6K),1h 23m
Teri Baaton Mein Aisa Uljha Jiya,Sci-Fi,6.2, (54K),2h 21m
V/H/S/Beyond,Sci-Fi,5.8, (9.5K),1h 54m
Omni Loop,Sci-Fi,5.6, (2.9K),1h 52m
Cora,Sci-Fi,4.6, (872),1h 44m
The Thundermans Return,Sci-Fi,5.0, (1.8K),1h 10m
The Greatest Hits,Sci-Fi,6.2, (7.4K),1h 34m
Turn Me On,Sci-Fi,5.6, (535),1h 39m
Justice League: Crisis on Infinite Earths - Part One,Sci-Fi,6.2, (8.5K),1h 33m
Baby Invasion,Sci-Fi,4.6, (460),1h 20m
Levels,Sci-Fi,5.0, (1.5K),1h 33m
The Bunker,Sci-Fi,4.3, (198),1h 32m
Justice League: Crisis on Infinite Earths - Part Three,Sci-Fi,6.1, (4.5K),1h 34m
Badland Hunters,Sci-Fi,5.9, (12K),1h 47m
Moon Maidens 2,Sci-Fi,3.5, (39),1h 9m
Year 10,Sci-Fi,5.4, (1.9K),1h 36m
My Hero Academia: You're Next,Sci-Fi,7.0, (2.2K),1h 50m
Timestalker,Sci-Fi,5.5, (3K),1h 29m
Code 8: Part II,Sci-Fi,5.7, (16K),1h 40m
Ultraman: Rising,Sci-Fi,6.9, (6.4K),1h 57m
Street Trash,Sci-Fi,4.5, (854),1h 25m
The Empire,Sci-Fi,5.2, (1.2K),1h 50m
The Silent Planet,Sci-Fi,4.8, (235),1h 35m
Doraemon the Movie: Nobita's Earth Symphony,Sci-Fi,6.6, (1.5K),1h 55m
Latency,Sci-Fi,4.2, (2.6K),1h 34m
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,Sci-Fi,5.0, (100),55m
40 Acres,Sci-Fi,6.9, (137),1h 53m
Mars,Sci-Fi,7.9, (23),1h 24m
Wonderland,Sci-Fi,6.2, (2.3K),1h 53m
Parallel,Sci-Fi,5.3, (1.9K),1h 28m
Justice League: Crisis on Infinite Earths - Part Two,Sci-Fi,5.5, (5.3K),1h 34m
Futra Days,Sci-Fi,4.1, (146),1h 39m
Uranus 2324,Sci-Fi,6.4, (4.8K),2h 10m
Ick,Sci-Fi,5.6, (203),1h 27m
Alienoid: The Return to the Future,Sci-Fi,6.5, (2.6K),2h 2m
South of Hope Street,Sci-Fi,6.2, (1.4K),1h 41m
City Hunter,Sci-Fi,6.3, (5.6K),1h 42m
Bloody Escape: Bats out of Hell,Sci-Fi,5.6, (48),1h 40m
The Thinking Game,Sci-Fi,7.6, (173),1h 24m
Arena Wars,Sci-Fi,4.8, (2.1K),1h 36m
We're All Gonna Die,Sci-Fi,8.2, (94),1h 50m
Sentinel,Sci-Fi,2.6, (763),1h 30m
Agent Recon,Sci-Fi,2.4, (677),1h 25m
Else,Sci-Fi,6.0, (241),1h 42m
Last Night on Earth,Sci-Fi,4.7, (361),1h 26m
Bade Miyan Chote Miyan,Sci-Fi,3.7, (39K),2h 43m
Gaami,Sci-Fi,6.4, (2K),2h 27m
Maid Droid Origins,Sci-Fi,3.0, (322),1h 36m
Mars Has Eyes,Sci-Fi,1.7, (7),1h 10m
Unspeakable: Beyond the Wall of Sleep,Sci-Fi,6.1, (55),1h 30m
Boreal,Sci-Fi,4.6, (48),1h 22m
Another End,Sci-Fi,6.5, (754),2h 9m
Trapped Inn,Sci-Fi,2.7, (912),1h 55m
Lesbian Space Princess,Sci-Fi,7.2, (137),1h 27m
Reversi,Sci-Fi,7.3, (182),2h 15m
Tales Beyond the Galaxy,Sci-Fi,4.7, (182),1h 16m
Daniela Forever,Sci-Fi,6.2, (225),1h 53m
"Canadian, Sniper",Sci-Fi,3.4, (357),1h 23m
Fight Another Day,Sci-Fi,4.9, (357),1h 37m
X Files,Sci-Fi,2.1, (63),1h 14m
Revival,Sci-Fi,5.6, (17),N/A
U Are the Universe,Sci-Fi,7.7, (276),1h 30m
Alien Country,Sci-Fi,4.4, (364),1h 36m
War of the Worlds: Extinction,Sci-Fi,3.0, (207),1h 24m
Lumina,Sci-Fi,2.1, (672),1h 53m
