Title,Genre,Ratings,Voting_counts,Duration
Mufasa: The Lion King,Family,6.6, (63K),1h 58m
Moana 2,Family,6.6, (102K),1h 40m
Flow,Family,7.9, (74K),1h 25m
Sonic the Hedgehog 3,Family,6.9, (59K),1h 50m
Paddington in Peru,Family,6.7, (21K),1h 46m
How to Make Millions Before Grandma Dies,Family,8.0, (15K),2h 5m
Transformers One,Family,7.6, (51K),1h 44m
Despicable Me 4,Family,6.2, (65K),1h 34m
The Day the Earth Blew Up: A Looney Tunes Movie,Family,7.0, (4.2K),1h 31m
Inside Out 2,Family,7.5, (216K),1h 36m
IF,Family,6.4, (58K),1h 44m
Kung Fu Panda 4,Family,6.3, (68K),1h 34m
Average Joe,Family,4.3, (577),1h 40m
The Garfield Movie,Family,5.7, (24K),1h 41m
My Penguin Friend,Family,6.7, (5.2K),1h 37m
Harold and the Purple Crayon,Family,5.7, (8.4K),1h 30m
Descendants: The Rise of Red,Family,4.7, (7K),1h 31m
Young Hearts,Family,8.0, (4.8K),1h 39m
Wallace & Gromit: Vengeance Most Fowl,Family,7.5, (34K),1h 22m
Spellbound,Family,5.5, (7.4K),1h 49m
The Forge,Family,6.7, (4.9K),2h 4m
Not Just a Goof,Family,7.8, (320),1h 27m
Hitpig,Family,5.1, (943),1h 26m
Piece by Piece,Family,6.9, (5.4K),1h 33m
Thelma the Unicorn,Family,5.7, (2.9K),1h 33m
Faith of Angels,Family,5.8, (230),1h 38m
Buffalo Kids,Family,6.6, (695),1h 33m
Unsung Hero,Family,7.0, (5K),1h 53m
Megamind vs. The Doom Syndicate,Family,2.5, (5.6K),1h 23m
Orion and the Dark,Family,6.3, (17K),1h 33m
Lost on a Mountain in Maine,Family,6.1, (1.2K),1h 38m
You Gotta Believe,Family,5.8, (1.3K),1h 44m
The Thundermans Return,Family,5.0, (1.8K),1h 10m
That Christmas,Family,6.8, (17K),1h 31m
Ultraman: Rising,Family,6.9, (6.4K),1h 57m
A Carpenter's Prayer,Family,6.2, (92),1h 31m
Woody Woodpecker Goes to Camp,Family,4.5, (2.6K),1h 40m
Saving Bikini Bottom: The Sandy Cheeks Movie,Family,3.7, (3.9K),1h 22m
Big World,Family,7.3, (1.3K),2h 11m
