Title,Genre,Ratings,Voting_counts,Duration
The Life of Chuck,Fantasy,7.6, (557),1h 50m
Mufasa: The Lion King,Fantasy,6.6, (63K),1h 58m
Nosferatu,Fantasy,7.2, (193K),2h 12m
Wicked,Fantasy,7.5, (157K),2h 40m
Moana 2,Fantasy,6.6, (102K),1h 40m
Flow,Fantasy,7.9, (74K),1h 25m
Sonic the Hedgehog 3,Fantasy,6.9, (59K),1h 50m
Parthenope,Fantasy,6.6, (12K),2h 17m
Transformers One,Fantasy,7.6, (51K),1h 44m
Better Man,Fantasy,7.6, (27K),2h 15m
Beetlejuice Beetlejuice,Fantasy,6.6, (147K),1h 45m
The Crow,Fantasy,4.7, (35K),1h 51m
Inside Out 2,Fantasy,7.5, (216K),1h 36m
The Lord of the Rings: The War of the Rohirrim,Fantasy,6.3, (30K),2h 14m
Megalopolis,Fantasy,4.7, (35K),2h 18m
IF,Fantasy,6.4, (58K),1h 44m
Red One,Fantasy,6.3, (140K),2h 3m
Solo Leveling: ReAwakening,Fantasy,8.7, (12K),2h 1m
Damsel,Fantasy,6.1, (110K),1h 50m
Godzilla x Kong: The New Empire,Fantasy,6.0, (122K),1h 55m
Ghostbusters: Frozen Empire,Fantasy,6.1, (93K),1h 55m
The Watchers,Fantasy,5.7, (57K),1h 42m
Kung Fu Panda 4,Fantasy,6.3, (68K),1h 34m
The Balconettes,Fantasy,6.1, (922),1h 44m
Uglies,Fantasy,4.7, (33K),1h 40m
The Garfield Movie,Fantasy,5.7, (24K),1h 41m
Harold and the Purple Crayon,Fantasy,5.7, (8.4K),1h 30m
Descendants: The Rise of Red,Fantasy,4.7, (7K),1h 31m
Monster Summer,Fantasy,5.7, (3.7K),1h 37m
Kalki 2898 AD,Fantasy,7.0, (67K),3h
Spellbound,Fantasy,5.5, (7.4K),1h 49m
Rebel Moon - Part Two: The Scargiver,Fantasy,5.3, (59K),2h 2m
The Wonderful Story of Henry Sugar and Three More,Fantasy,7.1, (6.8K),1h 28m
The Tearsmith,Fantasy,5.2, (12K),1h 43m
Dear Santa,Fantasy,5.4, (19K),1h 47m
The End,Fantasy,5.5, (1.9K),2h 28m
Girl Haunts Boy,Fantasy,6.3, (3K),1h 40m
Thelma the Unicorn,Fantasy,5.7, (2.9K),1h 33m
Family Pack,Fantasy,5.5, (9.1K),1h 34m
The Best Christmas Pageant Ever,Fantasy,6.8, (6.1K),1h 39m
Buffalo Kids,Fantasy,6.6, (694),1h 33m
Harry Potter and the Stone,Fantasy,7.8, (166),2h 32m
Hagen,Fantasy,6.0, (1.2K),2h 19m
Orion and the Dark,Fantasy,6.3, (17K),1h 33m
Irish Wish,Fantasy,5.2, (21K),1h 33m
The Thundermans Return,Fantasy,5.0, (1.8K),1h 10m
