Title,Genre,Ratings,Voting_counts,Duration
I'm Still Here,History,8.3, (105K),2h 17m
Small Things Like These,History,6.8, (23K),1h 38m
The Count of Monte-Cristo,History,7.6, (34K),2h 58m
The Apprentice,History,7.1, (55K),2h 2m
Queer,History,6.4, (21K),2h 17m
The Return,History,6.2, (8.6K),1h 56m
Saturday Night,History,6.9, (30K),1h 49m
September 5,History,7.1, (23K),1h 35m
The Girl with the Needle,History,7.5, (14K),2h 3m
The Six Triple Eight,History,6.7, (26K),2h 7m
William Tell,History,5.7, (2.5K),2h 13m
The Devil's Bath,History,6.6, (6.3K),2h 1m
Blitz,History,6.2, (16K),2h
Unfrosted,History,5.5, (35K),1h 37m
Reagan,History,6.1, (11K),2h 21m
11 Rebels,History,6.2, (418),2h 35m
Bonhoeffer: Pastor. Spy. Assassin.,History,6.2, (3.6K),2h 13m
The Children's Train,History,7.4, (7.2K),1h 46m
Joy,History,7.1, (9.4K),1h 55m
Vermiglio,History,6.9, (4.1K),1h 59m
Harvest,History,6.1, (378),2h 11m
Grand Tour,History,6.6, (1.7K),2h 8m
Before Dawn,History,5.4, (1K),1h 41m
Harbin,History,6.2, (654),1h 48m
Uprising,History,6.6, (5.6K),2h 6m
Goebbels and the Führer,History,6.7, (2.2K),2h 15m
Being Maria,History,6.1, (609),1h 40m
Intoxicated by Love,History,8.5, (13K),1h 58m
Waves,History,8.0, (1.7K),2h 11m
The New Year That Never Came,History,8.2, (5K),2h 18m
Maharaj,History,6.5, (15K),2h 11m
Escape from Germany,History,5.3, (971),1h 37m
No Chains No Masters,History,6.4, (550),1h 38m
Bushido,History,6.9, (442),2h 9m
Seize Them!,History,5.1, (1.2K),1h 31m
The Flood,History,6.4, (278),1h 41m
Limonov: The Ballad of Eddie,History,6.0, (798),2h 18m
"From Hilde, with Love",History,7.0, (926),2h 5m
Chhava,History,8.4, (2.2K),51m
Golden Kamuy,History,6.3, (2.6K),2h 7m
Louise Violet,History,6.5, (212),1h 48m
Shirley,History,6.2, (3.3K),1h 57m
In Her Place,History,6.2, (1.5K),1h 36m
The Damned,History,5.4, (868),1h 29m
Bibi Rajni,History,8.5, (723),2h 23m
Quisling: The Final Days,History,7.1, (1.1K),2h 26m
Chandu Champion,History,7.8, (34K),2h 22m
The Last Front,History,5.5, (614),1h 38m
Witch,History,5.0, (1.4K),1h 47m
Maidaan,History,7.9, (23K),3h 1m
Gloria!,History,6.6, (993),1h 46m
Thangalaan,History,6.6, (6.6K),2h 36m
The Commandant's Shadow,History,7.3, (1.1K),1h 43m
"Love, Courage and the Battle of Bushy Run",History,5.0, (183),1h 53m
Witches,History,7.4, (1.2K),1h 30m
Unsinkable,History,5.8, (141),1h 40m
The Ballad of Davy Crockett,History,4.6, (248),1h 36m
Einstein and the Bomb,History,6.2, (4K),1h 16m
Atatürk II: 1881-1919,History,8.9, (2.1K),2h 21m
Kingdom 4: Return of the Great General,History,7.1, (1.3K),2h 25m
Janis Ian: Breaking Silence,History,8.1, (58),1h 54m
Apollo 13: Survival,History,7.3, (2.4K),1h 38m
Operation Undead,History,4.6, (407),1h 50m
Conquer: Lahad Datu,History,6.6, (516),2h
The Great Ambition,History,7.2, (713),2h 3m
Kupu-Kupu Kertas,History,6.5, (194),1h 53m
Shivrayancha Chhava,History,7.1, (415),1h 20m
Warrior Awang and Master Tok Gajah,History,4.6, (476),1h 58m
Color of Victory,History,6.1, (40K),2h 37m
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,History,8.1, (661),2h 54m
Ka Whawhai Tonu,History,7.3, (179),1h 55m
Six Days in August,History,6.3, (124),2h
Now or Never!,History,2.2, (17K),N/A
Never Alone,History,7.2, (425),1h 25m
Battlefield,History,6.2, (673),1h 44m
Razakar: The Silent Genocide of Hyderabad,History,7.4, (5.3K),2h 46m
Taghiev: Oil,History,9.2, (71),2h
The Kingdom,History,7.9, (91),2h 13m
Meeting with Pol Pot,History,6.4, (381),1h 52m
House of Ga'a,History,3.9, (489),1h 59m
Apocalypse in the Tropics,History,7.5, (94),1h 50m
America's Burning,History,5.8, (95),1h 23m
Something to Stand for with Mike Rowe,History,8.7, (288),1h 36m
Ae Watan Mere Watan,History,4.7, (1.4K),2h 13m
Die Ermittlung: Oratorium in 11 Gesängen,History,7.6, (163),4h 1m
Lula,History,5.6, (186),1h 30m
Vindication Swim,History,6.0, (210),1h 38m
The Impact: Groundbreaking Documentary,History,8.1, (58),N/A
Kasoombo,History,8.2, (634),2h 36m
Ahl Al Kahf,History,5.3, (265),2h
The Volunteers: The Battle of Life and Death,History,6.2, (233),2h 24m
ABBA: Against the Odds,History,7.4, (414),1h 30m
Silver Star,History,7.1, (16),1h 42m
Jorge da Capadócia,History,6.4, (132),1h 59m
Sucha Soorma,History,6.4, (918),2h 16m
Blood'less' Revolution,History,6.6, (265),1h 43m
Red Poppies,History,4.7, (298),2h 2m
From Darkness to Light,History,7.4, (175),1h 48m
Gangs of Godavari,History,5.0, (909),2h 45m
The Shadow,History,6.5, (261),1h 30m
Panjab Files,History,8.2, (20),1h 57m
Gadera,History,5.1, (50),1h 48m
Landesverräter,History,5.9, (101),1h 52m
Bir Cumhuriyet Sarkisi,History,7.7, (386),2h 8m
Bahodir Yalangto'sh,History,9.4, (77),N/A
Housewife of the Year,History,7.5, (52),1h 21m
Ennio Doris - C'è anche domani,History,5.2, (101),1h 30m
Mysteries of the Terracotta Warriors,History,6.7, (1.6K),1h 17m
Patrice: The Movie,History,8.3, (228),1h 42m
Death Game,History,6.3, (24),1h 28m
Memoir Seorang Guru,History,7.1, (125),2h
"Carville: Winning Is Everything, Stupid",History,7.2, (269),1h 38m
Boat,History,5.4, (1K),2h 6m
Lisabi: The Uprising,History,6.1, (125),1h 47m
Sadik Ahmet,History,7.7, (413),2h 5m
Chhatrapati Tararani,History,8.9, (20),N/A
A Country Called Ghana,History,9.2, (11),N/A
The Peanut Man,History,5.4, (72),N/A
Bardejov,History,4.8, (177),1h 25m
Mustafa,History,6.9, (73),1h 15m
The Embers,History,6.3, (104),2h 42m
This Is the Goat!,History,5.3, (287),1h 40m
Mi Ilustrísimo Amigo,History,N/A,N/A,1h 20m
Accident or Conspiracy: Godhra,History,7.4, (783),2h 13m
Simona Kossak,History,6.1, (321),1h 40m
Yatra 2,History,6.3, (9.7K),2h 12m
Greenwood Rising: The Rise of Black Wall Street,History,7.1, (96),N/A
Komandir,History,6.4, (523),2h 11m
Aliens Return,History,3.1, (10),N/A
Quo Vadis,History,6.6, (508),1h 30m
Vremya vernutsya,History,6.9, (15),1h 40m
Drava se ne predaje,History,9.6, (7),N/A
Yakamoz,History,6.5, (16),1h 36m
Comrade Yuri,History,N/A,N/A,N/A
Magic & Monsters,History,N/A,N/A,N/A
Six Nine Five (695),History,7.1, (705),2h 17m
Obraz,History,7.6, (17),1h 35m
And the Balls Roll On...: The Real Story of the Beautiful Game of Skee-Ball,History,N/A,N/A,1h 33m
Hakkenden,History,5.8, (76),2h 29m
Chernyy zamok,History,7.9, (19),1h 55m
Bach - Ein Weihnachtswunder,History,6.2, (168),1h 29m
Solos en la noche,History,5.8, (98),1h 28m
"Arlempdes, la légende du premier château de la Loire",History,6.5, (9),N/A
Hope of Escape,History,7.7, (41),1h 31m
Burgemeestersmoord,History,6.4, (83),N/A
Aquarius,History,6.6, (21),1h 15m
"True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",History,7.2, (29),1h 30m
Village of Death: Oradour-sur-Glane 1944,History,7.8, (15),58m
"Zeme, kas dzied",History,6.4, (76),2h 30m
Who Killed Lawrence of Arabia?,History,6.5, (32),1h 40m
Zhi Ci Qing Lv,History,6.7, (49),1h 29m
Tholos vythos,History,6.8, (25),1h 30m
Cândido,History,6.3, (61),1h 39m
Powstaniec 1863,History,5.4, (139),1h 55m
Wilhelm Gustloff,History,8.7, (8),1h 50m
Cinta Dari Timor,History,5.3, (23),1h 22m
Rinnans rival,History,N/A,N/A,1h 34m
